Measure	Value	SampleID	Group
ACE	1325.751	T12C16	T12C
ACE	985.799	T12C17	T12C
ACE	1360.843	T12C18	T12C
ACE	1356.461	T12C19	T12C
ACE	837.764	T12C20	T12C
ACE	1380.728	T12M01	T12M
ACE	1323.602	T12M02	T12M
ACE	1380.923	T12M03	T12M
ACE	696.649	T12M04	T12M
ACE	1396.722	T12M05	T12M
ACE	1283.773	T12M06	T12M
ACE	1292.701	T12M07	T12M
ACE	1201.543	T12M08	T12M
ACE	1302.253	T12M09	T12M
ACE	1402.009	T12M10	T12M
ACE	1168.936	T12M11	T12M
ACE	1335.859	T12M12	T12M
ACE	1244.7	T12M13	T12M
ACE	1269.347	T12M14	T12M
ACE	1494.156	T12M15	T12M
ACE	1288.796	T12M16	T12M
ACE	1311.011	T12M17	T12M
ACE	1172.903	T12M18	T12M
ACE	1436.489	T12M19	T12M
ACE	1325.885	T12M20	T12M
ACE	1213.722	T21C01	T21C
ACE	1202.408	T21C02	T21C
ACE	991.329	T21C03	T21C
ACE	1190.26	T21C04	T21C
ACE	1261.541	T21C05	T21C
ACE	1145.323	T21C06	T21C
ACE	1207.467	T21C07	T21C
ACE	1264.59	T21C08	T21C
ACE	1240.657	T21C09	T21C
ACE	1268.064	T21C10	T21C
ACE	1103.752	T21C11	T21C
ACE	1242.597	T21C12	T21C
ACE	925.797	T21C13	T21C
ACE	1294.516	T21C14	T21C
ACE	1142.873	T21C15	T21C
ACE	867.494	T21C16	T21C
ACE	943.548	T21C17	T21C
ACE	675.372	T21C18	T21C
ACE	728.542	T21C19	T21C
ACE	702.031	T21C20	T21C
ACE	1484.195	T21M01	T21M
ACE	1016.605	T21M02	T21M
ACE	1362.665	T21M03	T21M
ACE	675.743	T21M04	T21M
ACE	1232.814	T21M05	T21M
ACE	1162.254	T21M06	T21M
ACE	1498.729	T21M07	T21M
ACE	1630.636	T21M08	T21M
ACE	1472.506	T21M09	T21M
ACE	1626.045	T21M10	T21M
ACE	1645.128	T21M11	T21M
ACE	1389.194	T21M12	T21M
ACE	1215.114	T21M13	T21M
ACE	1451.563	T21M14	T21M
ACE	1705.464	T21M15	T21M
ACE	1638.239	T21M16	T21M
ACE	1393.438	T21M17	T21M
ACE	1657.773	T21M18	T21M
ACE	1561.067	T21M19	T21M
ACE	1528.019	T21M20	T21M
ACE	1317.857	T30C01	T30C
ACE	1088.113	T30C02	T30C
ACE	1147.281	T30C03	T30C
ACE	1305.402	T30C04	T30C
ACE	1032.491	T30C05	T30C
ACE	1074.75	T30C06	T30C
ACE	1274.534	T30C07	T30C
ACE	1256.819	T30C08	T30C
ACE	937.551	T30C09	T30C
ACE	1074.592	T30C10	T30C
ACE	1202.767	T30C11	T30C
ACE	1197.216	T30C12	T30C
ACE	1063.372	T30C13	T30C
ACE	1143.293	T30C14	T30C
ACE	1100.15	T30C15	T30C
ACE	1128.445	T30C16	T30C
ACE	1292.319	T30C17	T30C
ACE	1050.569	T30C18	T30C
ACE	1307.296	T30C19	T30C
ACE	1375.017	T30C20	T30C
ACE	1066.394	T30M01	T30M
ACE	1370.013	T30M02	T30M
ACE	1504.178	T30M03	T30M
ACE	998.039	T30M04	T30M
ACE	1312.208	T30M05	T30M
ACE	1415.778	T30M06	T30M
ACE	1348.152	T30M07	T30M
ACE	1297.881	T30M08	T30M
ACE	1398.952	T30M09	T30M
ACE	1289.74	T30M10	T30M
ACE	1443.077	T30M11	T30M
ACE	1207.739	T30M12	T30M
ACE	1395.773	T30M13	T30M
ACE	1299.759	T30M14	T30M
ACE	1400.949	T30M15	T30M
ACE	1376.634	T30M16	T30M
ACE	1357.338	T30M17	T30M
ACE	1171.002	T30M18	T30M
ACE	1433.759	T30M19	T30M
ACE	1325.507	T30M20	T30M
Shannon	4.245	T00C01	T00C
Shannon	4.851	T00C02	T00C
Shannon	4.072	T00C03	T00C
Shannon	4.597	T00C04	T00C
Shannon	5.212	T00C05	T00C
Shannon	4.088	T00C06	T00C
Shannon	5.137	T00C07	T00C
Shannon	4.702	T00C08	T00C
Shannon	4.314	T00C09	T00C
Shannon	5.022	T00C10	T00C
Shannon	4.89	T00C11	T00C
Shannon	5.252	T00C12	T00C
Shannon	3.348	T00C13	T00C
Shannon	4.721	T00C14	T00C
Shannon	5.702	T00C15	T00C
Shannon	5.27	T00C16	T00C
Shannon	3.576	T00C17	T00C
Shannon	5.396	T00C18	T00C
Shannon	5.89	T00C19	T00C
Shannon	5.565	T00C20	T00C
Shannon	3.844	T05C01	T05C
Shannon	3.774	T05C02	T05C
Shannon	4.01	T05C03	T05C
Shannon	1.549	T05C04	T05C
Shannon	4.369	T05C05	T05C
Shannon	3.954	T05C06	T05C
Shannon	4.541	T05C07	T05C
Shannon	3.636	T05C08	T05C
Shannon	4.499	T05C09	T05C
Shannon	4.775	T05C10	T05C
Shannon	4.038	T05C11	T05C
Shannon	4.398	T05C12	T05C
Shannon	4.082	T05C13	T05C
Shannon	4.52	T05C14	T05C
Shannon	3.96	T05C15	T05C
Shannon	3.756	T05C16	T05C
Shannon	3.75	T05C17	T05C
Shannon	3.567	T05C18	T05C
Shannon	4.065	T05C19	T05C
Shannon	3.649	T05C20	T05C
Shannon	3.572	T05M01	T05M
Shannon	3.745	T05M02	T05M
Shannon	3.22	T05M03	T05M
Shannon	3.625	T05M04	T05M
Shannon	3.493	T05M05	T05M
Shannon	3.828	T05M06	T05M
Shannon	3.304	T05M07	T05M
Shannon	3.565	T05M08	T05M
Shannon	3.543	T05M09	T05M
Shannon	3.388	T05M10	T05M
Shannon	3.285	T05M11	T05M
Shannon	3.965	T05M12	T05M
Shannon	3.201	T05M13	T05M
Shannon	2.901	T05M14	T05M
Shannon	2.834	T05M15	T05M
Shannon	3.189	T05M16	T05M
