Modu1	Modu2	Both	M1nodes	M2nodes	Pvalues	DF1vsDF2
M4	M1	6	68	32	0.779219235129463	D00C_D30M
M4	M6	0	68	11	1	D00C_D30M
M4	M4	3	68	15	0.701391189122575	D00C_D30M
M4	M3	8	68	36	0.599300363459782	D00C_D30M
M4	M7	0	68	6	1	D00C_D30M
M4	M5	0	68	18	1	D00C_D30M
M4	M2	4	68	25	0.862225356085073	D00C_D30M
M2	M1	8	60	32	0.294305371929692	D00C_D30M
M2	M6	0	60	11	1	D00C_D30M
M2	M4	3	60	15	0.607124489112158	D00C_D30M
M2	M3	7	60	36	0.609722971056316	D00C_D30M
M2	M7	0	60	6	1	D00C_D30M
M2	M5	0	60	18	1	D00C_D30M
M2	M2	11	60	25	0.00378462289798753	D00C_D30M
M3	M1	0	26	32	1	D00C_D30M
M3	M6	4	26	11	0.00970996168583024	D00C_D30M
M3	M4	1	26	15	0.751966749987093	D00C_D30M
M3	M3	3	26	36	0.628972275214936	D00C_D30M
M3	M7	6	26	6	2.39119793209203e-07	D00C_D30M
M3	M5	0	26	18	1	D00C_D30M
M3	M2	0	26	25	1	D00C_D30M
M1	M1	10	73	32	0.223746316397918	D00C_D30M
M1	M6	0	73	11	1	D00C_D30M
M1	M4	5	73	15	0.288355849931502	D00C_D30M
M1	M3	3	73	36	0.997839733289701	D00C_D30M
M1	M7	0	73	6	1	D00C_D30M
M1	M5	0	73	18	1	D00C_D30M
M1	M2	3	73	25	0.96799040822358	D00C_D30M
M7	M1	0	8	32	1	D00C_D30M
M7	M6	0	8	11	1	D00C_D30M
M7	M4	0	8	15	1	D00C_D30M
M7	M3	1	8	36	0.644995726458762	D00C_D30M
M7	M7	0	8	6	1	D00C_D30M
M7	M5	0	8	18	1	D00C_D30M
M7	M2	1	8	25	0.505756345099669	D00C_D30M
M5	M1	1	5	32	0.433342520765923	D00C_D30M
M5	M6	0	5	11	1	D00C_D30M
M5	M4	0	5	15	1	D00C_D30M
M5	M3	0	5	36	1	D00C_D30M
M5	M7	0	5	6	1	D00C_D30M
M5	M5	0	5	18	1	D00C_D30M
M5	M2	0	5	25	1	D00C_D30M
M6	M1	2	7	32	0.164890745062363	D00C_D30M
M6	M6	0	7	11	1	D00C_D30M
M6	M4	0	7	15	1	D00C_D30M
M6	M3	0	7	36	1	D00C_D30M
M6	M7	0	7	6	1	D00C_D30M
M6	M5	0	7	18	1	D00C_D30M
M6	M2	0	7	25	1	D00C_D30M
M4	M5	7	59	8	0.000322740934764569	D05C_D05M
M4	M3	0	59	15	1	D05C_D05M
M4	M1	4	59	38	0.996378978376347	D05C_D05M
M4	M2	1	59	41	0.999998416938554	D05C_D05M
M4	M4	1	59	14	0.985396599804425	D05C_D05M
M4	M7	4	59	6	0.0372898755426291	D05C_D05M
M2	M5	0	61	8	1	D05C_D05M
M2	M3	7	61	15	0.0641076634546107	D05C_D05M
M2	M1	16	61	38	0.0147826410703695	D05C_D05M
M2	M2	9	61	41	0.807576926728826	D05C_D05M
M2	M4	6	61	14	0.126663139173826	D05C_D05M
M2	M7	0	61	6	1	D05C_D05M
M1	M5	0	42	8	1	D05C_D05M
M1	M3	0	42	15	1	D05C_D05M
M1	M1	0	42	38	1	D05C_D05M
M1	M2	1	42	41	0.999881418843158	D05C_D05M
M1	M4	1	42	14	0.94344048993466	D05C_D05M
M1	M7	0	42	6	1	D05C_D05M
M3	M5	0	13	8	1	D05C_D05M
M3	M3	1	13	15	0.588928263103627	D05C_D05M
M3	M1	5	13	38	0.0422479221612397	D05C_D05M
M3	M2	1	13	41	0.925018087214865	D05C_D05M
M3	M4	0	13	14	1	D05C_D05M
M3	M7	0	13	6	1	D05C_D05M
M4	M2	5	59	109	0.999993208998961	D05C_D12C
M4	M3	15	59	82	0.286522487137942	D05C_D12C
M4	M1	7	59	83	0.990932010012428	D05C_D12C
M4	M7	0	59	6	1	D05C_D12C
M4	M4	0	59	6	1	D05C_D12C
M4	M5	1	59	9	0.78962846761206	D05C_D12C
M4	M6	1	59	6	0.644649991822938	D05C_D12C
M2	M2	30	61	109	0.000225510447658256	D05C_D12C
M2	M3	1	61	82	0.999999939002836	D05C_D12C
M2	M1	14	61	83	0.491649833957729	D05C_D12C
M2	M7	0	61	6	1	D05C_D12C
M2	M4	1	61	6	0.658037198279277	D05C_D12C
M2	M5	0	61	9	1	D05C_D12C
M2	M6	2	61	6	0.252993879736284	D05C_D12C
M1	M2	0	42	109	1	D05C_D12C
M1	M3	7	42	82	0.85738198841424	D05C_D12C
M1	M1	8	42	83	0.755850161661829	D05C_D12C
M1	M7	0	42	6	1	D05C_D12C
M1	M4	0	42	6	1	D05C_D12C
M1	M5	0	42	9	1	D05C_D12C
M1	M6	0	42	6	1	D05C_D12C
M3	M2	6	13	109	0.142798939051005	D05C_D12C
M3	M3	0	13	82	1	D05C_D12C
M3	M1	2	13	83	0.823280637442482	D05C_D12C
M3	M7	0	13	6	1	D05C_D12C
M3	M4	0	13	6	1	D05C_D12C
M3	M5	1	13	9	0.274604172445027	D05C_D12C
M3	M6	0	13	6	1	D05C_D12C
M4	M1	6	59	76	0.99824064131895	D05C_D21C
M4	M2	5	59	73	0.999259275139833	D05C_D21C
M4	M8	6	59	9	0.00133559303651264	D05C_D21C
M4	M6	1	59	18	0.973034830088401	D05C_D21C
M4	M5	1	59	15	0.949982263691998	D05C_D21C
M4	M10	0	59	5	1	D05C_D21C
M4	M3	3	59	27	0.890899083872233	D05C_D21C
M4	M4	0	59	14	1	D05C_D21C
M4	M9	0	59	6	1	D05C_D21C
M4	M11	1	59	5	0.625290227160845	D05C_D21C
M4	M7	0	59	8	1	D05C_D21C
M2	M1	3	61	76	0.99999397953851	D05C_D21C
M2	M2	27	61	73	1.07875583332039e-05	D05C_D21C
M2	M8	0	61	9	1	D05C_D21C
M2	M6	0	61	18	1	D05C_D21C
M2	M5	1	61	15	0.955318237806832	D05C_D21C
M2	M10	2	61	5	0.227873048098863	D05C_D21C
M2	M3	11	61	27	0.00383035318312395	D05C_D21C
M2	M4	4	61	14	0.242276073429991	D05C_D21C
M2	M9	0	61	6	1	D05C_D21C
M2	M11	0	61	5	1	D05C_D21C
M2	M7	0	61	8	1	D05C_D21C
M1	M1	13	42	76	0.127095795637312	D05C_D21C
M1	M2	1	42	73	0.999986276762572	D05C_D21C
M1	M8	1	42	9	0.707493058633644	D05C_D21C
M1	M6	1	42	18	0.917558064291438	D05C_D21C
M1	M5	2	42	15	0.586517794220017	D05C_D21C
M1	M10	0	42	5	1	D05C_D21C
M1	M3	0	42	27	1	D05C_D21C
M1	M4	0	42	14	1	D05C_D21C
M1	M9	0	42	6	1	D05C_D21C
M1	M11	0	42	5	1	D05C_D21C
M1	M7	0	42	8	1	D05C_D21C
M3	M1	2	13	76	0.838498410946626	D05C_D21C
M3	M2	2	13	73	0.819233915748103	D05C_D21C
M3	M8	0	13	9	1	D05C_D21C
M3	M6	0	13	18	1	D05C_D21C
M3	M5	2	13	15	0.110862687942135	D05C_D21C
M3	M10	0	13	5	1	D05C_D21C
M3	M3	1	13	27	0.673873576684736	D05C_D21C
M3	M4	2	13	14	0.0982372814942205	D05C_D21C
M3	M9	0	13	6	1	D05C_D21C
M3	M11	0	13	5	1	D05C_D21C
M3	M7	0	13	8	1	D05C_D21C
M4	M5	8	59	64	0.989941612525059	D05C_D30C
