from	to	type
OTU3313	OTU4788	0.8559824
OTU455	OTU5765	0.840854
OTU455	OTU8657	0.8615358
OTU4796	OTU8080	0.8084716
OTU3282	OTU4238	0.879594
OTU3090	OTU4266	0.8166418
OTU4187	OTU4812	0.9111172
OTU4246	OTU5114	0.8157555
OTU442	OTU7527	0.873866
OTU5455	OTU8678	0.8255633
OTU3262	OTU4796	0.8783303
OTU3316	OTU4796	0.8271411
OTU3282	OTU4788	0.8931912
OTU3259	OTU4865	0.8272694
OTU3148	OTU6578	0.8456733
OTU3259	OTU4266	0.820782
OTU3992	OTU8876	0.8372732
OTU4793	OTU5765	0.8425038
OTU4397	OTU6780	0.851938
OTU1605	OTU442	0.8361362
OTU3806	OTU8657	0.8585781
OTU3457	OTU4394	0.8586012
OTU1605	OTU8275	0.8726196
OTU4747	OTU7882	0.8475842
OTU3806	OTU7440	0.8822646
OTU4684	OTU4796	0.9097886
OTU1605	OTU8804	0.8684096
OTU2351	OTU5114	0.8357247
OTU5455	OTU8657	0.8342463
OTU455	OTU8678	0.8113125
OTU4291	OTU4788	0.8395451
OTU5455	OTU7424	0.8349052
OTU3806	OTU6543	0.8243993
OTU3536	OTU5765	0.835401
OTU3536	OTU6403	0.8623847
OTU4132	OTU5653	0.8349797
