OTUID	Kingdom	Phylum	Class	Order	Family	Genus
OTU1235	d_Bacteria	p_Acidobacteriota	c_Thermoanaerobaculia	o_Thermoanaerobaculales	f_Thermoanaerobaculaceae	g_Subgroup_10
OTU1239	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_unclassified_c_Gammaproteobacteria	f_unclassified_c_Gammaproteobacteria	g_unclassified_c_Gammaproteobacteria
OTU1240	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Cellvibrionales	f_Halieaceae	g_unclassified_f_Halieaceae
OTU1243	d_Bacteria	p_Acidobacteriota	c_Thermoanaerobaculia	o_Thermoanaerobaculales	f_Thermoanaerobaculaceae	g_Subgroup_10
OTU1246	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Nitrosococcales	f_Nitrosococcaceae	g_unclassified_f_Nitrosococcaceae
OTU1247	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Alteromonadales	f_Colwelliaceae	g_Thalassotalea
OTU1248	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Granulosicoccales	f_Granulosicoccaceae	g_Granulosicoccus
OTU1249	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Coxiellales	f_Coxiellaceae	g_Coxiella
OTU1259	d_Bacteria	p_Acidobacteriota	c_Thermoanaerobaculia	o_Thermoanaerobaculales	f_Thermoanaerobaculaceae	g_Subgroup_10
OTU1269	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Burkholderiales	f_Rhodocyclaceae	g_Denitromonas
OTU127	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Cytophagales	f_Cyclobacteriaceae	g_unclassified_f_Cyclobacteriaceae
OTU1272	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Gammaproteobacteria_Incertae_Sedis	f_unclassified_o_Gammaproteobacteria_Incertae_Sedis	g_norank_f_unclassified
OTU1276	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Chromatiales	f_Chromatiaceae	g_Thiocapsa
OTU1280	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_SZB50	f_norank_o_SZB50	g_norank_f_norank_o_SZB50
OTU1282	d_Bacteria	p_Verrucomicrobiota	c_Chlamydiae	o_Chlamydiales	f_unclassified_o_Chlamydiales	g_unclassified_o_Chlamydiales
OTU1283	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Thiohalorhabdales	f_Thiohalorhabdaceae	g_norank_f_Thiohalorhabdaceae
OTU1285	d_Bacteria	p_Calditrichota	c_Calditrichia	o_Calditrichales	f_Calditrichaceae	g_norank_f_Calditrichaceae
OTU1287	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_Rubritaleaceae	g_Haloferula
OTU1288	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Cellvibrionales	f_Halieaceae	g_unclassified_f_Halieaceae
OTU1294	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Ga0077536	f_norank_o_Ga0077536	g_norank_f_norank_o_Ga0077536
OTU1296	d_Bacteria	p_Spirochaetota	c_Spirochaetia	o_Spirochaetales	f_Spirochaetaceae	g_Spirochaeta_2
OTU1297	d_Bacteria	p_Acidobacteriota	c_Thermoanaerobaculia	o_Thermoanaerobaculales	f_Thermoanaerobaculaceae	g_Subgroup_10
OTU1300	d_Bacteria	p_Planctomycetota	c_OM190	o_norank_c_OM190	f_norank_o_norank_c_OM190	g_norank_f_norank_o_norank_c_OM190
OTU1301	d_Bacteria	p_Firmicutes	c_Bacilli	o_Exiguobacterales	f_Exiguobacteraceae	g_Exiguobacterium
OTU1305	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Alteromonadales	f_Shewanellaceae	g_Shewanella
OTU1306	d_Bacteria	p_Acidobacteriota	c_Thermoanaerobaculia	o_Thermoanaerobaculales	f_Thermoanaerobaculaceae	g_Subgroup_10
OTU1307	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Vibrionales	f_Vibrionaceae	g_Photobacterium
OTU1308	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_unclassified_c_Gammaproteobacteria	f_unclassified_c_Gammaproteobacteria	g_unclassified_c_Gammaproteobacteria
OTU1310	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Arenicellales	f_Arenicellaceae	g_norank_f_Arenicellaceae
OTU1314	d_Bacteria	p_Acidobacteriota	c_Vicinamibacteria	o_Subgroup_17	f_norank_o_Subgroup_17	g_norank_f_norank_o_Subgroup_17
OTU1316	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_Rubritaleaceae	g_Roseibacillus
OTU1319	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_B2M28	f_norank_o_B2M28	g_norank_f_norank_o_B2M28
OTU1321	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Gammaproteobacteria_Incertae_Sedis	f_unclassified_o_Gammaproteobacteria_Incertae_Sedis	g_norank_f_unclassified
OTU1324	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Thiohalorhabdales	f_Thiohalorhabdaceae	g_norank_f_Thiohalorhabdaceae
OTU1328	d_Bacteria	p_Dependentiae	c_Babeliae	o_Babeliales	f_Vermiphilaceae	g_norank_f_Vermiphilaceae
OTU1330	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_EPR3968-O8a-Bc78	f_norank_o_EPR3968-O8a-Bc78	g_norank_f_norank_o_EPR3968-O8a-Bc78
OTU1332	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Chromatiales	f_Sedimenticolaceae	g_Sedimenticola
OTU1333	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Burkholderiales	f_Comamonadaceae	g_Hydrogenophaga
OTU1336	d_Bacteria	p_unclassified_k_norank_d_Bacteria	c_unclassified_k_norank_d_Bacteria	o_unclassified_k_norank_d_Bacteria	f_unclassified_k_norank_d_Bacteria	g_unclassified_k_norank_d_Bacteria
